# Rime user dictionary
#@/db_name	clover
#@/db_type	userdb
#@/rime_version	1.7.3
#@/tick	5226
#@/user_id	9a37928f-410e-4e25-b28a-7b53c5089780
a 	啊	c=15 d=1.22086 t=5113
a yi 	阿姨	c=1 d=1 t=4359
a zhe 	啊这	c=3 d=1.0016 t=2836
a zhe 	阿哲	c=1 d=1 t=242
ai 	爱	c=2 d=1.07955 t=1349
ai guo 	爱国	c=1 d=1 t=8
ai guo 	爱过	c=1 d=1.00484 t=29
ai guo jiu zhi shuo 	爱过救治说	c=1 d=1 t=30
ai ni 	爱你	c=2 d=1.00137 t=2558
an 	俺	c=1 d=1 t=773
an 	按	c=11 d=1.80845 t=4096
an jing 	安静	c=1 d=1 t=1428
an quan 	安全	c=1 d=0.257237 t=919
an quan gan 	安全感	c=3 d=1.05657 t=4853
an wen 	安稳	c=1 d=1 t=4085
an xia 	按下	c=2 d=1.74453 t=4162
an yi xia 	按一下	c=1 d=1 t=2223
an zhuo 	安卓	c=1 d=1 t=1412
ao 	嗷	c=1 d=1 t=1862
ba 	吧	c=16 d=2.932 t=5198
ba 	把	c=5 d=2.93896 t=3155
ba 	爸	c=1 d=1 t=269
ba ni 	把你	c=5 d=1.94919 t=2543
ba wo 	把握	c=1 d=1 t=3124
ba yue di 	八月底	c=1 d=1 t=1291
ba zi ji 	把自己	c=1 d=1 t=4465
bai 	掰	c=2 d=1.01384 t=2004
bai du wang pan 	百度网盘	c=1 d=1 t=1218
bai fen bai 	百分百	c=1 d=1 t=994
bai hua wen 	白话文	c=1 d=1 t=5188
bai se 	白色	c=0 d=0.1 t=579
bai se yin ji 	白色印记	c=1 d=1 t=580
bai tian 	白天	c=1 d=1 t=892
bai tuo bai tuo 	拜托拜托	c=1 d=1 t=74
ban 	半	c=1 d=1 t=18
ban 	拌	c=0 d=0.1 t=5055
ban 	班	c=2 d=0.389384 t=4061
ban ben 	版本	c=1 d=1 t=4596
ban ben kong zhi 	版本控制	c=1 d=1 t=4926
ban tian 	半天	c=1 d=1 t=4782
bang shang qu 	绑上去	c=1 d=1 t=648
bang ta 	帮他	c=1 d=1 t=494
bang zhe 	绑着	c=1 d=1 t=637
bao 	宝	c=4 d=2.30794 t=4764
bao 	抱	c=2 d=2.06895 t=4865
bao bao 	抱抱	c=3 d=2.94092 t=4856
bao chi 	保持	c=1 d=1 t=1749
bao cun 	保存	c=7 d=3.30138 t=2481
bao cun dao 	保存到	c=1 d=1 t=2385
bao cun de 	保存的	c=1 d=1 t=2436
bao guo 	抱过	c=1 d=1 t=4875
bao han 	包含	c=1 d=1 t=1891
bao hu wo 	保护我	c=1 d=1 t=1852
bao jing 	报警	c=1 d=1 t=1007
bao kuo 	包括	c=5 d=2.21288 t=3757
bao shang 	报上	c=0 d=0.1 t=2855
bao yan 	保研	c=1 d=1 t=3875
bao zha 	爆炸	c=1 d=1 t=379
bao zhe 	抱着	c=2 d=1 t=4871
bao zhe tou 	抱着头	c=1 d=1 t=4868
bao zheng 	保证	c=1 d=1 t=548
bei 	呗	c=2 d=1.02945 t=5181
bei 	被	c=2 d=1.01777 t=1520
bei an 	备案	c=1 d=1 t=967
bei cheng wei 	被称为	c=1 d=1 t=1525
bei da qing hua 	北大清华	c=1 d=1 t=4247
bei dong 	被动	c=1 d=1 t=4563
bei fen 	备份	c=3 d=1.88692 t=5226
bei hou 	背后	c=0 d=0.1 t=4863
bei jing 	北京	c=2 d=1.00038 t=5006
bei wei 	卑微	c=1 d=1 t=4467
ben 	本	c=1 d=1 t=4644
ben hang 	本行	c=6 d=2.77912 t=3276
ben lai 	本来	c=1 d=1 t=1929
ben lai da suan 	本来打算	c=1 d=1 t=4902
ben lai jiu shi 	本来就是	c=1 d=1 t=4468
ben teng 	奔腾	c=1 d=1 t=600
bi 	比	c=2 d=1.00015 t=2209
bi he 	闭合	c=1 d=1.056 t=3502
bi he fu hao 	闭合符号	c=3 d=2.67911 t=3541
bi ji 	笔记	c=1 d=0.106006 t=2143
bi jiao 	比较	c=2 d=1.00074 t=2408
bi jiao yuan 	比较远	c=1 d=1 t=638
bi jing 	鼻镜	c=1 d=1.00105 t=986
bi kong 	鼻孔	c=3 d=1 t=4409
bi kong hen da 	鼻孔很大	c=2 d=1 t=4408
bi li 	比例	c=1 d=1 t=3602
bi ni 	比你	c=1 d=1 t=3773
bi ren 	比人	c=2 d=1.51944 t=597
bi ru 	比如	c=0 d=0.1 t=4369
bi ru ne 	比如呢	c=1 d=1 t=4370
bi ru wo 	比如我	c=1 d=1 t=1431
bi ti 	鼻涕	c=1 d=1 t=1802
bi xu 	必须	c=2 d=1.00288 t=3679
bi xu yao 	必须要	c=1 d=1 t=4958
bi yan 	鼻炎	c=2 d=1.01734 t=983
bi yan yan 	鼻咽炎	c=4 d=2.58082 t=1050
bi ye 	毕业	c=3 d=1.07209 t=5141
bi ye she ji 	毕业设计	c=1 d=1 t=923
bi yi zhi yan 	闭一只眼	c=1 d=1 t=1011
bi zi 	鼻子	c=3 d=1.0008 t=2442
bian 	边	c=1 d=1 t=820
bian 	遍	c=0 d=0.1 t=4234
bian cheng le 	变成了	c=1 d=1 t=359
bian hua 	变化	c=5 d=1.09575 t=4553
bian ji 	编辑	c=2 d=1.00025 t=3635
bian le 	变了	c=1 d=1 t=3552
biao bai le 	表白了	c=1 d=1 t=1854
biao da 	表达	c=1 d=1 t=1474
biao dian fu hao 	标点符号	c=1 d=1 t=3349
biao pei 	标配	c=1 d=1 t=856
biao qian 	标签	c=2 d=1.97045 t=4624
biao shang 	标上	c=1 d=1 t=2957
biao shi 	标示	c=2 d=1.75957 t=4659
biao shi 	标识	c=3 d=2.76555 t=4635
biao shi 	表示	c=19 d=1.85215 t=4166
biao xian wei 	表现为	c=1 d=1 t=3666
biao zhi 	标志	c=2 d=1.89583 t=2739
bie 	别	c=2 d=1.09997 t=5169
bie de 	别的	c=1 d=1 t=418
bie jie hun le 	别结婚了	c=1 d=1 t=5165
bie kua wo 	别夸我	c=1 d=1 t=27
bie ren 	别人	c=2 d=1.04243 t=1125
bie xiang 	别想	c=0 d=0.1 t=196
bie xiang tai duo le 	别想太多了	c=1 d=1 t=197
bie you 	别有	c=0 d=0.1 t=4851
bie zou 	别走	c=0 d=0.1 t=4981
bie zou lu 	别走路	c=1 d=1 t=4982
bing 	并	c=7 d=1.00008 t=4671
bing 	病	c=1 d=1 t=4362
bing bu shi 	并不是	c=1 d=1 t=4517
bo fang 	播放	c=1 d=1 t=4323
bo shi 	博士	c=1 d=1 t=4580
bu 	不	c=6 d=0.654105 t=5133
bu 	步	c=2 d=0.17698 t=5081
bu bao cun 	不保存	c=1 d=1 t=2394
bu bao kuo 	不包括	c=1 d=1 t=3540
bu bu 	步步	c=1 d=1 t=4891
bu ceng 	不曾	c=1 d=1 t=7
bu chi 	不吃	c=0 d=0.1 t=4278
bu chi shi 	不吃屎	c=1 d=1 t=4279
bu dan 	不但	c=1 d=1 t=1454
bu de bu 	不得不	c=1 d=1 t=3916
bu deng 	不等	c=1 d=1 t=2110
bu di le 	不滴了	c=1 d=1 t=2446
bu dian 	不点	c=1 d=1 t=1996
bu dong 	不懂	c=1 d=1 t=5167
bu dou ni wan le 	不逗你玩了	c=1 d=1 t=48
bu duan 	不断	c=2 d=1.75201 t=395
bu fa le 	不发了	c=1 d=1 t=187
bu gao 	不高	c=0 d=0.1 t=266
bu gao xiao 	不搞笑	c=1 d=1 t=2183
bu gei ni 	不给你	c=1 d=1 t=1084
bu gen ni 	不跟你	c=1 d=1 t=299
bu guan 	不管	c=2 d=1.92312 t=2554
bu guo 	不过	c=7 d=1.48883 t=4811
bu hao 	不好	c=0 d=0.1 t=63
bu he shi 	不合适	c=1 d=1 t=4435
bu hui 	不会	c=10 d=2.03571 t=4548
bu hui ba 	不会吧	c=1 d=1 t=1224
bu hui dui 	不会对	c=1 d=1 t=1903
bu hui dui 	步会对	c=1 d=1 t=1902
bu jian 	不见	c=1 d=1 t=1295
bu jian yi 	不建议	c=1 d=1 t=2656
bu jin 	不仅	c=1 d=1 t=1684
bu jin qu 	不进去	c=0 d=0.1 t=2444
bu jiu shi 	不就是	c=1 d=1 t=2009
bu ke neng 	不可能	c=1 d=1 t=4088
bu ke qi 	不客气	c=3 d=1.00257 t=4277
bu ke yi 	不可以	c=3 d=1.00085 t=4364
bu ke yi o 	不可以哦	c=1 d=1 t=2439
bu ku 	不哭	c=1 d=1 t=1407
bu kun 	不困	c=0 d=0.1 t=1173
bu kun le 	不困了	c=1 d=1 t=1174
bu lai 	不来	c=1 d=1 t=134
bu lei 	不累	c=0 d=0.1 t=2849
bu li pu 	不离谱	c=1 d=1 t=5134
bu li wo 	不理我	c=1 d=1 t=4783
bu men 	部门	c=1 d=1 t=1484
bu min gan 	不敏感	c=1 d=1 t=2772
bu neng 	不能	c=6 d=1.00009 t=4384
bu neng gan 	不能干	c=1 d=1 t=934
bu neng suan 	不能算	c=1 d=1 t=2508
bu pei 	不配	c=0 d=0.1 t=3970
bu qu 	不去	c=2 d=1.00001 t=4249
bu que ding 	不确定	c=0 d=0.1 t=3876
bu ran 	不然	c=3 d=1.00009 t=4367
bu re qing 	不热情	c=1 d=1.06079 t=1780
bu ru 	不如	c=1 d=1 t=5053
bu shi 	不是	c=10 d=1.14907 t=4765
bu shi hai 	不是害	c=1 d=1 t=3981
bu shi ya 	不是呀	c=1 d=1 t=4502
